keys,en,es
PRESS_KEY_TO_START,Press a key to start,Presiona un boton para comenzar
MUSIC_OWNER,Music created by Steven O'Brien,Música creada por Steven O'Brien
GAMEMODE_LAST_STANDING,Last Standig,Ultimo en Pie
GAMEMODE_TIME_TRIAL,Time Trial,Contrarreloj
PLAYER_WORD_SELECTING,Player,Jugador
BACK_BUTTON_WORD,Back,Atrás
SELECT_BUTTON_WORD,Select,Aceptar
MOVE_BUTTON_WORD,Move,Moverse
START_TO_JOIN,Press Start to join,Presiona Start para unirte
PLAYER_READY_LABEL,Ready,Listo
START_BUTTON_WORD,Start,Iniciar
GAME_PAUSED_TEXT,Game Paused,Juego Pausado
GAME_RESUME_BUTTON,Resume,Reanudar
GAME_EXIT_BUTTON,Go to main menu,Volver al menu
FIRST_ORDINAL,1st,1.º
SECOND_ORDINAL,2nd,2.º
THIRD_ORDINAL,3rd,3.º
FOURTH_ORDINAL,4th,4.º
GAME_FINISHED_TITLE,Game Over,Juego Terminado
SETTINGS_SCREEN_SOUNS,Sound,Sonido
SETTINGS_SCREEN_INTERFACE,Interface,Interfaz
SETTINGS_SCREEN_WINDOW,Windows,Ventana
SETTINGS_GENERAL_VOLUME,General Volume,Volumen General
SETTINGS_MUSIC_VOLUME,Music Volum,Volumen de Música
SETTINGS_SFX_VOLUME,SFX Volume,Volumen de SFX
SETTINGS_LANGUAGE_ENGLISH,English,Inglés
SETTINGS_LANGUAGE_SPANISH,Spanish,Español
SETTINGS_FULLSCREEN,Fullscreen,Pantalla completa
SETTINGS_LANGUAGE_TITLE,Language,Idioma
SETTING_BACK_DEFAULT,Default settings,Ajustes por defecto
MORE_INFORMATION_TITILE,Information,Información
MORE_EXTRA_STAGES_TITLE,Extra Stages,Escenarios extras
